name,address,category
Anna Vi Clinics,"ЖК Бараева, улица Александр Бараев, 25, Астана",Красота
Ara,"Улица Санжара Асфендиярова, 5, Астана",Красота
Кәусар,"Проспект Бауыржан Момышулы, 25, Астана",Красота
Upgrade Studio,"ЖК Nura EsiL, Аль-Фараби проспект, 21/1, Астана",Красота
LN,"Улица Сауран, 14, Астана",Красота
Gents,"Проспект Сарыарка, 24, Астана",Красота
Gemini cosmetology,"Кабанбай батыр проспект, 64, Астана",Красота
Көркем,"Проспект Улы Дала, 67, Астана",Красота
Avocado,"Улица Алихан Бокейхан, 27/1, Астана",Красота
AMARI Health&Spa,"Улица Айша биби, 38, Астана",Красота
Soho,"ТРЦ Керуен, улица Достык, 9, Астана",Красота
Ulzhan Arystan,"Проспект Туран, 55/12, Астана",Красота
Green moon,"Улица Фариза Онгарсынова, 6, Астана",Красота
Barber Boss,"Улица Е-489, 3 блок 2, Астана",Красота
SanQoй,"Улица Бейбитшилик, 67, Астана",Красота
Notting Hill,"Керей, Жанибек хандар улица, 44, Астана",Красота
Topmaster_zhanna,"Улица Алматы, 13, Астана",Красота
Lazer_ultimate,"Аль-Фараби проспект, 7/3, Астана",Красота
Prime Barbershop,"Проспект Мангилик Ел, 47п, Астана",Красота
Bella Ciao,"Улица Жумекен Нажимеденов, 4, Астана",Красота
Freya_beauty_astana,"Проспект Республики, 68, Астана",Красота
Lavi Beauty studio,"Улица Динмухамед Конаев, 14/2, Астана",Красота
Gul beauty salon,"Улица Айтеке би, 15, Астана",Красота
Salta,"Улица Жумекен Нажимеденов, 64, Астана",Красота
Hair day,"Проспект Ракымжан Кошкарбаев, 34, Астана",Красота
Nails time,"Улица Сарайшык, 34, Астана",Красота
Habibi,"Проспект Улы Дала, 69, Астана",Красота
Зере,"Улица Сакена Сейфуллина, 6, Астана",Красота
Storia,"Улица Толе би, 59, Астана",Красота
Zet Mart,"Улица Сауран, 14, Астана",Красота
sugastar.kz,"БЦ Moskva, улица Достык, 18, Астана",Красота
Chicago girls,"Улица Бердибек Сокпакбаев, 5, Астана",Красота
Айым,"Улица Шаймерден Косшыгулулы, 21, Астана",Красота
Satori,"Улица Шаймерден Косшыгулулы, 3/1, Астана",Красота
Aigerim_nurbekova_beauty,"Проспект Абылай хана, 19/3, Астана",Красота
LAMAS BEAUTY,"Проспект Туран, 43/1, Астана",Красота
My.Lashroom,"Проспект Туран, 46Б/2, Астана",Красота
NewMan,"Улица Абикен Бектуров, 17, Астана",Красота
Aina,"Улица Санжара Асфендиярова, 6, Астана",Красота
Maftuna_Nails_Astana,"Проспект Туран, 43/5, Астана",Красота
Ulzhanna,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
Dr. Rain_Beauty,"Переулок Талды-222, 9, Астана",Красота
Dalii,"Проспект Туран, 45/1, Астана",Красота
Dina.Isaevna,"Улица Аскар Токпанов, 20, Астана",Красота
Yellow cosmetology,"Проспект Мангилик Ел, 36, Астана",Красота
Zarina_lazer_astana,"Улица Алиби Жангельдин, 3, Астана",Красота
The Shelby,"Улица Толе би, 59, Астана",Красота
Pur Pur,"Проспект Бауыржан Момышулы, 13/1, Астана",Красота
Provisage,"Проспект Мангилик Ел, 24, Астана",Красота
Астанинские ноготочки,"Улица Кенесары, 6, Астана",Красота
NewYork,"Улица Каныш Сатпаев, 11, Астана",Красота
Astana_Sugaring,"Улица Каныш Сатпаев, 18, Астана",Красота
Айна,"Проспект Ракымжан Кошкарбаев, 37, Астана",Красота
Beauty room M,"Улица Сакена Сейфуллина, 4/1, Астана",Красота
BS beauty club,"Улица Евгения Брусиловского, 5, Астана",Красота
muni_beauty_studio,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
New Life,"Проспект Мангилик Ел, 51/2, Астана",Красота
Hair.astana,"Улица Сакена Сейфуллина, 4/2, Астана",Красота
Aykun,"Керей, Жанибек хандар улица, 12Б, Астана",Красота
Колорист,"Улица Сарайшык, 5/1, Астана",Красота
Culture,"Улица Кенесары, 4, Астана",Красота
Guriia,"Улица Касым Аманжолов, 28/1, Астана",Красота
Serenity wellness and spa,"Кабанбай батыр проспект, 13, Астана",Красота
Meta Aesthetic,"Radisson Hotel, проспект Сарыарка, 4, Астана",Красота
Ai.charm,"Улица Кайым Мухамедханов, 17/1, Астана",Красота
Nika,"Улица Габидена Мустафина, 13/1, Астана",Красота
Sen Suly,"Улица Куляш Байсеитовой, 10, Астана",Красота
Medina Beauty,"Улица Толе би, 44/2, Астана",Красота
Triumph Barbershop,"Аль-Фараби проспект, 17, Астана",Красота
Qyz Jibek,"Улица Абикен Бектуров, 3, Астана",Красота
La Vie beauty space,"Улица Акмешит, 1 блок 6, Астана",Красота
EL Clasico,"Улица Кенесары, 47а, Астана",Красота
GBQ Studio,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
Алтын шебер,"Проспект Ракымжан Кошкарбаев, 37/1, Астана",Красота
Shelkovaya,"Улица Орынбор, 12 Блок 3, Астана",Красота
Saida.hair.kz,"Амангельды Иманова улица, 41, Астана",Красота
Bolatovanails,"ЖК Nura EsiL, Аль-Фараби проспект, 21/1, Астана",Красота
Meyirmed Clinic,"Улица Касым Аманжолов, 22, Астана",Красота
Rozen,"Аль-Фараби проспект, 17/1, Астана",Красота
Vilaser.kz,"БЦ Нурсаулет-1, Амангельды Иманова улица, 11, Астана",Красота
Britva,"Улица Сыганак, 54а, Астана",Красота
Farizush_makeup_Astana,"Улица Александр Бараев, 12, Астана",Красота
Nail studio,"Улица Бейбитшилик, 43, Астана",Красота
NineLLe Beauty Studio,"Улица Маскеу, 38а, Астана",Красота
Body Bliss,"Керей, Жанибек хандар улица, 28, Астана",Красота
j’adore,"Улица Алихан Бокейхан, 25, Астана",Красота
Аделия,"Улица Беимбет Майлин, 19, Астана",Красота
MoonRise by Aizhan Bakhtiyar,"Улица Толе би, 57, Астана",Красота
PodoNails,"Улица Кайым Мухамедханов, 6, Астана",Красота
Suluym,"Улица Ахмет Байтурсынулы, 8, Астана",Красота
Prof Epil Studio,"Улица Достык, 1, Астана",Красота
Studio,"Улица Шаймерден Косшыгулулы, 21, Астана",Красота
ProFace,"Улица Кайым Мухамедханов, 4 блок B, Астана",Красота
Saf,"Проспект Улы Дала, 33, Астана",Красота
New Life,"Улица Турар Рыскулов, 5/2, Астана",Красота
Lucem medical clinic,"Улица Аманат, 2, Астана",Красота
LorEstet clinic,"Улица Алихан Бокейхан, 15, Астана",Красота
Alessa,"Проспект Бауыржан Момышулы, 2/5, Астана",Красота
Merci,"Проспект Женис, 14, Астана",Красота
dr.Dosmagambetova,"Улица Жумабека Ташенова, 7, Астана",Красота
Сән,"Улица Роза Багланова, 6п, Астана",Красота
Impala Beauty Brand,"Проспект Туран, 52/7, Астана",Красота
Qazaq qonaq yi,"Улица Айша биби, 52, Астана",Красота
Dent Star,"Улица Бейбитшилик, 54, Астана",Красота
FAB LAB,"Улица Сауран, 9, Астана",Красота
Майра,"Проспект Бауыржан Момышулы, 10/2, Астана",Красота
Люкс,"Улица Караменде би Шакаулы, 16, Астана",Красота
Gold Clinic,"Улица Анет баба, 12, Астана",Красота
Блеск,"Проспект Женис, 45/1, Астана",Красота
Әли,"Е-67 улица, 8, Астана",Красота
GQ,"Керей, Жанибек хандар улица, 28, Астана",Красота
Medina,"Проспект Бауыржан Момышулы, 18, Астана",Красота
Grand Prix,"Улица Сарайшык, 1, Астана",Красота
Руки ножницы,"Улица Сакена Сейфуллина, 14, Астана",Красота
Люкс,"Улица Республики, 54, Косшы, Косшы городская администрация, Акмолинская область",Красота
Royal Spa,"Гостиница King Hotel Astana, улица Шокан Уалиханов, 7, Астана",Красота
Nomad barber academy,"Улица Ахмет Байтурсынулы, 8, Астана",Красота
ФАЗЕНДА,"Улица 150 лет Абая, 10, Астана",Красота
Tiara Nails,"Улица Чингиз Айтматов, 40/2, Астана",Красота
Mary beauty bar,"Проспект Туран, 44/2, Астана",Красота
Konfeta,"Аль-Фараби проспект, 33, Астана",Красота
Crystal,"Проспект Республики, 6, Астана",Красота
La Bella,"Улица Кайым Мухамедханов, 6, Астана",Красота
SIN CITY,"Улица Алексея Петрова, 20, Астана",Красота
Khan,"Проспект Бауыржан Момышулы, 10, Астана",Красота
Beautrend,"Улица Санжара Асфендиярова, 11, Астана",Красота
PODOSPECIFIC,"Улица Евгения Брусиловского, 5, Астана",Красота
MiS,"Улица Айнакол, 54а, Астана",Красота
Shugaringo1,"Улица Максут Нарикбаев, 4, Астана",Красота
ИЗБУШКА,"Улица Жанкент, 83, Астана",Красота
Sisters,"Проспект Абылай хана, 28, Астана",Красота
Sunrise,"Проспект Улы Дала, 39, Астана",Красота
Old school,"Кабанбай батыр проспект, 49а, Астана",Красота
Icons Beauty Salon&School,"Проспект Мангилик Ел, 40, Астана",Красота
Atlant,"Улица Турар Рыскулов, 1, Астана",Красота
Baur,"Улица Анет баба, 11/2, Астана",Красота
Deluxe_arai,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
Viva beauty,"Улица Габидена Мустафина, 15, Астана",Красота
The stom,"Улица Каныш Сатпаев, 18, Астана",Красота
Сұлу береке,"Улица Габидена Мустафина, 13/1, Астана",Красота
313,"Улица Касым Аманжолов, 28/2, Астана",Красота
General Thai Spa,"Кабанбай батыр проспект, 5/1, Астана",Красота
Mira,"Проспект Туран, 3в, Астана",Красота
ЭСТЭ,"Улица Достык, 13, Астана",Красота
Nazira Studio,"Проспект Абылай хана, 10, Астана",Красота
Pallada,"Улица Сагадат Нурмагамбетов, 19, Астана",Красота
Астана Эколайф,"Проспект Бауыржан Момышулы, 2д, Астана",Красота
Derm Delux,"Проспект Мангилик Ел, 28, Астана",Красота
Spa Time,"Radisson Hotel, проспект Сарыарка, 4, Астана",Красота
Ainur_nailart,"Улица Сыганак, 62, Астана",Красота
Electro_epil_mariya,"БЦ Асыл Тау, улица Алматы, 1, Астана",Красота
Erza_clinic,"Проспект Туран, 60, Астана",Красота
Zamzam_manikur_astana,"Улица Сакена Сейфуллина, 5, Астана",Красота
Shugaring_naz_01,"Аль-Фараби проспект, 25, Астана",Красота
Graf Barbershop,"Проспект Ракымжан Кошкарбаев, 34, Астана",Красота
Parfe,"Проспект Мангилик Ел, 57а, Астана",Красота
DROVAPAR,"Улица Айнакол, 61, Астана",Красота
Barbershop_sezar,"Мирный переулок, 4а, Астана",Красота
Sema,"Улица Кенесары, 52, Астана",Красота
М.М,"Проспект Ракымжан Кошкарбаев, 31, Астана",Красота
Diora,"Улица Кенжебек Кумисбеков, 2, Астана",Красота
Asema_hair_still,"Улица Кенесары, 47а, Астана",Красота
Студия эпиляции,"Улица Калибек Куанышбаев, 11/2, Астана",Красота
KELBET BEAUTY,"Улица Ахмет Байтурсынулы, 53, Астана",Красота
Changes,"Аль-Фараби проспект, 27/1, Астана",Красота
Тонус,"Алатау, проспект Тауелсиздик, 1/1, Астана",Красота
PodoWell,"Улица Анет баба, 9/1а, Астана",Красота
Aysn,"Проспект Бауыржан Момышулы, 13/3, Астана",Красота
Rival,"Проспект Мангилик Ел, 27/1, Астана",Красота
Winchester,"Улица Алихан Бокейхан, 10, Астана",Красота
Erkaraeva_nail,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
Somi Beauty Studio,"Переулок Улпан, 2, Астана",Красота
Sage barbershop,"Улица Шамши Калдаяков, 6, Астана",Красота
Logovo,"Проспект Абылай хана, 20Б, Астана",Красота
Baghdad,"Улица Толе би, 53, Астана",Красота
Genial Cosmetics,"Улица Туркестан, 10, Астана",Красота
Khan Beauty,"Проспект Бауыржан Момышулы, 10, Астана",Красота
Терапия кожи,"Улица Амман, 6, Астана",Красота
Contour,"БЦ 7 Континент, улица Кенесары, 40, Астана",Красота
Diаnna Z,"Улица Сакена Сейфуллина, 27/3, Астана",Красота
B Beauty,"Улица Санжара Асфендиярова, 3, Астана",Красота
Салон красоты,"Улица Кайым Мухамедханов, 21/2, Астана",Красота
Issak Barber,"ЖК Итальянский квартал, улица Шамши Калдаяков, 4, Астана",Красота
Bagira,"Улица Темирбек Жургенов, 28, Астана",Красота
Glamurista,"Проспект Туран, 46Б/1, Астана",Красота
Центр подологии и эстетики,"Улица Алихан Бокейхан, 10, Астана",Красота
Zoloto,"Улица Толе би, 59, Астана",Красота
Yunona,"Улица Илияс Омаров, 27, Астана",Красота
Aya Safiya,"Проспект Улы Дала, 41/2, Астана",Красота
Reyka,"Улица Илияс Омаров, 6/1, Астана",Красота
ХУТОРОК,"Переулок Ойтоган, 1, Астана",Красота
Life Studio,"Улица Толе би, 48, Астана",Красота
Khaki_kz,"Кабанбай батыр проспект, 2, Астана",Красота
D51,"Проспект Сарыарка, 21, Астана",Красота
beautyspace.glow,"Улица Максут Нарикбаев, 5, Астана",Красота
Центр здоровой стопы,"Улица Максут Нарикбаев, 9, Астана",Красота
Nails by Love,"Проспект Бауыржан Момышулы, 2/5, Астана",Красота
Цирюльникъ,"Улица Каныш Сатпаев, 20/1, Астана",Красота
Фортуна,"Переулок Култобе, 4, Астана",Красота
SN,"Проспект Шакарим Кудайбердыулы, 17 блок 2/17, Астана",Красота
PodoLife,"Улица генерал Сабыр Ракымов, 22, Астана",Красота
One Touch,"Проспект Шакарим Кудайбердыулы, 17 блок 2/17, Астана",Красота
Top nails beauty studio,"Улица Толе би, 63, Астана",Красота
Lvitsa,"Улица Илияс Омаров, 27/1, Астана",Красота
Beauty Secrets,"Улица Айнакол, 60, Астана",Красота
Афродита,"Улица Айганым, 14, Астана",Красота
Lavarium,"Улица Бухар жырау, 25а, Астана",Красота
ХОТТАБЫЧ,"Улица Сырымбет, 25, Астана",Красота
Space clinic,"Проспект Улы Дала, 55, Астана",Красота
Райлы,"Шоссе Коргалжын, 43, Астана",Красота
LaserGlow,"Керей, Жанибек хандар улица, 22, Астана",Красота
The best Beauty room,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
iClinic,"Проспект Мангилик Ел, 37, Астана",Красота
Bavaria,"Улица Балкантау, 147, Астана",Красота
Jailau Resort,"Каркаралы, 18, Астана, Целиноградский район",Красота
Euphoria,"Переулок Акжелен, 5/1, Астана",Красота
ТЕРЕМОК,"Улица Зеренды, 2/1, Астана",Красота
Бравый,"Проспект Женис, 43/4, Астана",Красота
Атлант,"Проспект Туран, 6/1а, Астана",Красота
Ерке,"Проспект Абая, 95, Астана",Красота
Zara,"Проспект Улы Дала, 65/1, Астана",Красота
AISHA BIBI HOTEL&SPA,"Улица Айша биби, 38, Астана",Красота
Level,"Проспект Туран, 22, Астана",Красота
AqMonsha,"Улица Алихан Бокейхан, 34Б, Астана",Красота
Chic Nails,"Улица Анет баба, 11/3, Астана",Красота
Rixos President Astana,"Улица Динмухамед Конаев, 7, Астана",Красота
The Ritz-Carlton Astana,"Улица Достык, 16, Астана",Красота
Comfort Hotel Astana,"Улица Космонавтов, 60, Астана",Красота
Family Clinic,"Улица Сакена Сейфуллина, 34Б, Астана",Красота
888,"Улица Жанайдар Жирентаев, 3, Астана",Красота
The Veil Taste & Relax,"Улица Кадыргали Жалайыри, 4, Астана",Красота
The One Hotel Astana,"Улица Кадыргали Жалайыри, 8, Астана",Красота
Opatra London,"Улица Кенесары, 51, Астана",Красота
AYANA CLINIC,"Улица Каныш Сатпаев, 13/3, Астана",Красота
Lammi me,"Проспект Туран, 55/10, Астана",Красота
AYANA CLINIC,"Улица Кенжебек Кумисбеков, 8, Астана",Красота
Queen bee,"Улица Гейдара Алиева, 10, Астана",Красота
Metabody,"Проспект Тауелсиздик, 31/2, Астана",Красота
Queen bee,"Проспект Туран, 3д, Астана",Красота
Logovo,"Проспект Мангилик Ел, 51/2, Астана",Красота
SmartDerma,"Улица Толе би, 50, Астана",Красота
AYANA CLINIC,"Улица Толе би, 44/1, Астана",Красота
Vip Studio,"Проспект Туран, 43/5, Астана",Красота
Имбирь,"Проспект Мангилик Ел, 29/2, Астана",Красота
Имбирь,"Улица Алихан Бокейхан, 24, Астана",Красота
Банный клуб,"Улица Ошакты, 8, Астана",Красота
Logovo,"Улица Каныш Сатпаев, 23/2, Астана",Красота
Mom`s beauty,"Проспект Мангилик Ел, 53, Астана",Красота
Callisto cosmetology & SPA,"Проспект Мангилик Ел, 31, Астана",Красота
Столичная баня,"Улица Бейбарыс Султан, 9/1, Астана",Красота
Имбирь Thai SPA Platinum,"Улица Сыганак, 48а, Астана",Красота
Marsal,"Улица Сарайшык, 7, Астана",Красота
Dacha,"Улица Аккемер, 32/2, Астана",Красота
Дарус,"Улица Туркестан, 10, Астана",Красота
Цирюльникъ,"Проспект Мангилик Ел, 52 блок B3, Астана",Красота
Роза,"Улица Шаймерден Косшыгулулы, 17, Астана",Красота
CLV,"Улица Е 126, 6, Астана",Красота
Palo,"Улица Толе би, 48/1, Астана",Красота
Купели,"Улица Кызылкениш, 12, Астана",Красота
Aisera Clinic,"Улица Жумекен Нажимеденов, 14, Астана",Красота
Mom`s beauty,"Улица Шамши Калдаяков, 8, Астана",Красота
Sandra,"Проспект Мангилик Ел, 41/3, Астана",Красота
Meet Me,"Улица Абубакир Тыныбаев, 18, Астана",Красота
Chic Nails,"Улица Беимбет Майлин, 19, Астана",Красота
Logovo,"Улица Ахмет Байтурсынулы, 47, Астана",Красота
Halal Beauty,"Улица Толе би, 48, Астана",Красота
Студия красоты Алишера Ешенкул,"Проспект Мангилик Ел, 41/3, Астана",Красота
Chic Nails,"Проспект Улы Дала, 41/4, Астана",Красота
Logovo,"Проспект Туран, 50/2, Астана",Красота
Logovo,"Улица Ахмет Байтурсынулы, 39/3, Астана",Красота
Nocktiki,"Улица Сыганак, 64/1, Астана",Красота
Urban,"Улица Роза Багланова, 4, Астана",Красота
Mom`s beauty,"Проспект Туран, 22/1, Астана",Красота
Бравый,"Проспект Туран, 46/2, Астана",Красота
Logovo,"Улица Бейбитшилик, 29, Астана",Красота
Level,"Улица Достык, 1/2, Астана",Красота
Berloga,"Улица Туркестан, 16/5, Астана",Красота
Gladko_ast,"Проспект Мангилик Ел, 51/4, Астана",Красота
Цирюльникъ,"Улица Сарайшык, 5, Астана",Красота
Fan-Fan,"Проспект Мангилик Ел, 19, Астана",Красота
Sobo,"Улица Алихан Бокейхан, 11а, Астана",Красота
Alfa Gentlemen,"Проспект Мангилик Ел, 52 блок B1, Астана",Красота
Ozger barbershop,"Проспект Ракымжан Кошкарбаев, 34, Астана",Красота
Aitmen,"Улица Илияс Омаров, 25, Астана",Красота
Level,"Проспект Мангилик Ел, 36, Астана",Красота
Бравый,"Амангельды Иманова улица, 7, Астана",Красота
Cagatay Gercek,"Проспект Туран, 14, Астана",Красота
Logovo,"Улица Кайым Мухамедханов, 20, Астана",Красота
Estet Premium by Ashirov Azamat,"Улица Кайым Мухамедханов, 4/1, Астана",Красота
Irada,"Улица Мухтара Ауэзова, 29, Астана",Красота
Chop-Chop,"ЖК Бараева, улица Александр Бараев, 21, Астана",Красота
Chic Nails,"Проспект Мангилик Ел, 29/2, Астана",Красота
Eleven Clinic,"Проспект Мангилик Ел, 55а, Астана",Красота
Tulip Medicine,"ЖК Бараева, улица Александр Бараев, 21, Астана",Красота
Имбирь,"Проспект Тауелсиздик, 40/5, Астана",Красота
Allure,"Улица Алихан Бокейхан, 38, Астана",Красота
Fan-Fan,"Улица Санжара Асфендиярова, 5, Астана",Красота
Space Beauty&Coffee,"ЖК Триумфальная Арка, проспект Мангилик Ел, 35, Астана",Красота
Thai`m,"Проспект Мангилик Ел, 38, Астана",Красота
Delight,"Кабанбай батыр проспект, 43 блок B, Астана",Красота
QaQaO,"Улица Тарас Шевченко, 8, Астана",Красота
Mojo,"Улица Алихан Бокейхан, 17, Астана",Красота
Central,"Улица Сарайшык, 34, Астана",Красота
Logovo,"БЦ Жасәмір, улица Кенесары, 17, Астана",Красота
Vip Studio,"Проспект Богенбай батыр, 56а, Астана",Красота
Miss Brown,"Проспект Мангилик Ел, 51/5, Астана",Красота
ХОТТАБЫЧ,"Улица Жайылма, 16, Астана",Красота
У Реки,"Улица А-42, 10, Астана",Красота
Aitmen,"Улица Фариза Онгарсынова, 6, Астана",Красота
Ta Beauty,"Улица Акмешит, 9/1, Астана",Красота
Sandra,"Улица Достык, 4, Астана",Красота
The Human,"Проспект Туран, 50/2, Астана",Красота
Sandra,"Улица Достык, 4, Астана",Красота
The Human,"Проспект Туран, 50/2, Астана",Красота
Logovo,"Улица Толе би, 44/1, Астана",Красота
Logovo,"Улица Жошы хан, 1, Астана",Красота
Beauty Lab,"Проспект Мангилик Ел, 17, Астана",Красота
Assem Omar,"Улица Достык, 13, Астана",Красота
Chocolate Beauty Salon,"Кабанбай батыр проспект, 9/2, Астана",Красота
Xпресс Fitness,"ЖК Итальянский квартал, улица Шамши Калдаяков, 4, Астана",Красота
Sheraton,"Улица Сыганак, 60/1, Астана",Красота
Jas Klinik,"Проспект Бауыржан Момышулы, 14, Астана",Красота
Chica,"Улица Санжара Асфендиярова, 5, Астана",Красота
Renaissance,"Улица Кажымукан, 1, Астана",Красота
Цирюльникъ,"Улица Сыганак, 62/3, Астана",Красота
Grand Thai Spa,"Улица Толе би, 65, Астана",Красота
Chop-Chop,"Улица Динмухамед Конаев, 2, Астана",Красота
Thelab.astana,"Проспект Абая, 59, Астана",Красота
Цирюльникъ,"Улица Кайым Мухамедханов, 17, Астана",Красота
Dushes.epil,"Улица Анет баба, 9/3, Астана",Красота
Insix,"Проспект Туран, 43/3, Астана",Красота
Aitmen,"Улица Кайрат Рыскулбеков, 29, Астана",Красота
